province_territory,category_1,category_2,total_flag,year,value
Newfoundland and Labrador,Live-In Caregivers,Live-In Caregiver Program,False,2000,2
Newfoundland and Labrador,Live-In Caregivers,Live-In Caregiver Occupations,False,2000,2
Newfoundland and Labrador,Live-In Caregivers,,True,2000,2
Newfoundland and Labrador,Agricultural Workers,Seasonal Agricultural Worker Program,False,2000,0
Newfoundland and Labrador,Agricultural Workers,Agricultural Stream,False,2000,0
Newfoundland and Labrador,Agricultural Workers,Other Agricultural Workers,False,2000,0
Newfoundland and Labrador,Agricultural Workers,,True,2000,0
Newfoundland and Labrador,Other Temporary Foreign Workers with LMIA,,False,2000,560
Newfoundland and Labrador,Caregivers,,False,2000,0
Newfoundland and Labrador,,,True,2000,565
Prince Edward Island,Live-In Caregivers,Live-In Caregiver Program,False,2000,2
Prince Edward Island,Live-In Caregivers,Live-In Caregiver Occupations,False,2000,0
Prince Edward Island,Live-In Caregivers,,True,2000,2
Prince Edward Island,Agricultural Workers,Seasonal Agricultural Worker Program,False,2000,0
Prince Edward Island,Agricultural Workers,Agricultural Stream,False,2000,0
Prince Edward Island,Agricultural Workers,Other Agricultural Workers,False,2000,0
Prince Edward Island,Agricultural Workers,,True,2000,0
Prince Edward Island,Other Temporary Foreign Workers with LMIA,,False,2000,45
Prince Edward Island,Caregivers,,False,2000,0
Prince Edward Island,,,True,2000,45
Nova Scotia,Live-In Caregivers,Live-In Caregiver Program,False,2000,2
Nova Scotia,Live-In Caregivers,Validation exemption for persons admitted under the former foreign domestic program (FDM),False,2000,0
Nova Scotia,Live-In Caregivers,Live-In Caregiver Occupations,False,2000,2
Nova Scotia,Live-In Caregivers,,True,2000,5
Nova Scotia,Agricultural Workers,Seasonal Agricultural Worker Program,False,2000,0
Nova Scotia,Agricultural Workers,Agricultural Stream,False,2000,0
Nova Scotia,Agricultural Workers,Other Agricultural Workers,False,2000,2
Nova Scotia,Agricultural Workers,,True,2000,2
Nova Scotia,Other Temporary Foreign Workers with LMIA,,False,2000,380
Nova Scotia,Caregivers,,False,2000,0
Nova Scotia,,,True,2000,390
New Brunswick,Live-In Caregivers,Live-In Caregiver Program,False,2000,2
New Brunswick,Live-In Caregivers,Live-In Caregiver Occupations,False,2000,2
New Brunswick,Live-In Caregivers,,True,2000,2
New Brunswick,Agricultural Workers,Seasonal Agricultural Worker Program,False,2000,0
New Brunswick,Agricultural Workers,Agricultural Stream,False,2000,0
New Brunswick,Agricultural Workers,Other Agricultural Workers,False,2000,2
New Brunswick,Agricultural Workers,,True,2000,2
New Brunswick,Other Temporary Foreign Workers with LMIA,,False,2000,185
New Brunswick,Caregivers,,False,2000,0
New Brunswick,,,True,2000,190
Quebec,Live-In Caregivers,Live-In Caregiver Program,False,2000,530
Quebec,Live-In Caregivers,Validation exemption for persons admitted under the former foreign domestic program (FDM),False,2000,2
Quebec,Live-In Caregivers,Live-In Caregiver Occupations,False,2000,115
Quebec,Live-In Caregivers,,True,2000,645
Quebec,Agricultural Workers,Seasonal Agricultural Worker Program,False,2000,0
Quebec,Agricultural Workers,Agricultural Stream,False,2000,0
Quebec,Agricultural Workers,Other Agricultural Workers,False,2000,5
Quebec,Agricultural Workers,,True,2000,5
Quebec,Other Temporary Foreign Workers with LMIA,,False,2000,2275
Quebec,Caregivers,,False,2000,0
Quebec,,,True,2000,2925
Ontario,Live-In Caregivers,Live-In Caregiver Program,False,2000,2105
Ontario,Live-In Caregivers,Emergency Live-In Caregiver Program Work Permit,False,2000,0
Ontario,Live-In Caregivers,Validation exemption for persons admitted under the former foreign domestic program (FDM),False,2000,2
Ontario,Live-In Caregivers,Live-In Caregiver Occupations,False,2000,370
Ontario,Live-In Caregivers,,True,2000,2475
Ontario,Agricultural Workers,Seasonal Agricultural Worker Program,False,2000,5
Ontario,Agricultural Workers,Agricultural Stream,False,2000,0
Ontario,Agricultural Workers,Other Agricultural Workers,False,2000,45
Ontario,Agricultural Workers,,True,2000,50
Ontario,Other Temporary Foreign Workers with LMIA,,False,2000,6480
Ontario,Caregivers,,False,2000,0
Ontario,,,True,2000,9005
